Time,Source IP,Destination IP,Protocol,Packet Length
"""Jun 13"," 2025 12:04:46.551529000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551530000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551577000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551578000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551590000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551591000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551601000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551602000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551651000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551652000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551664000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551665000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551675000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551676000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551723000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551724000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551736000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551737000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551747000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551748000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551796000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551797000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551809000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551810000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551821000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551822000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551871000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551872000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551898000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551899000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551910000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551911000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551956000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551957000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551971000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551972000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551983000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551984000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.552040000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.552041000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.552054000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.552055000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.552065000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.552066000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.552115000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
